Name,EGFR
Database_ID,ENSG00000146648.18
Patient_ID,
11LU013,16.96
11LU016,14.41
11LU022,14.42
11LU035,13.12
C3L-00001,17.07
C3L-00009,11.86
C3L-00080,12.58
C3L-00083,10.94
C3L-00093,12.78
C3L-00094,12.28
C3L-00095,12.34
C3L-00140,12.47
C3L-00144,13.26
C3L-00263,12.3
C3L-00279,13.15
C3L-00368,13.59
C3L-00412,11.65
C3L-00422,13.28
C3L-00510,13.11
C3L-00604,13.28
C3L-00893,13.81
C3L-00913,11.34
C3L-00973,11.81
C3L-01330,13.65
C3L-01632,11.41
C3L-01682,13.05
C3L-01683,11.65
C3L-01862,11.44
C3L-01889,12.88
C3L-01890,12.16
C3L-01924,13.49
C3L-02219,13.56
C3L-02345,12.12
C3L-02348,12.62
C3L-02350,11.75
C3L-02365,13.51
C3L-02508,11.06
C3L-02549,12.17
C3N-00167,14.29
C3N-00169,13.59
C3N-00175,13.63
C3N-00180,12.45
C3N-00199,14.87
C3N-00203,12.68
C3N-00217,10.69
C3N-00223,13.17
C3N-00293,12.86
C3N-00294,14.21
C3N-00433,11.77
C3N-00545,13.06
C3N-00546,15.11
C3N-00547,12.63
C3N-00549,8.77
C3N-00550,13.03
C3N-00551,13.61
C3N-00552,12.96
C3N-00556,13.61
C3N-00559,14.87
C3N-00560,9.99
C3N-00572,13.01
C3N-00574,15.59
C3N-00578,15.08
C3N-00579,13.29
C3N-00580,13.57
C3N-00704,13.88
C3N-00737,12.0
C3N-00738,11.93
C3N-00959,11.96
C3N-01016,11.43
C3N-01021,13.23
C3N-01023,11.88
C3N-01024,12.42
C3N-01030,13.19
C3N-01071,9.46
C3N-01072,13.5
C3N-01074,12.21
C3N-01405,13.29
C3N-01410,12.38
C3N-01413,13.44
C3N-01414,11.96
C3N-01415,14.53
C3N-01416,13.74
C3N-01488,13.3
C3N-01489,12.87
C3N-01799,13.19
C3N-01823,12.65
C3N-01842,11.97
C3N-02000,14.25
C3N-02002,13.84
C3N-02003,12.58
C3N-02067,14.44
C3N-02087,13.93
C3N-02089,11.9
C3N-02145,13.7
C3N-02149,11.59
C3N-02155,16.33
C3N-02158,12.97
C3N-02379,14.99
C3N-02380,13.6
C3N-02421,15.34
C3N-02422,12.65
C3N-02423,13.68
C3N-02424,13.17
C3N-02433,13.45
C3N-02529,15.02
C3N-02572,14.01
C3N-02582,15.53
C3N-02586,15.11
C3N-02587,12.74
C3N-02588,12.66
C3N-02729,14.3
C3L-00001.N,11.93
C3L-00009.N,12.32
C3L-00080.N,12.48
C3L-00083.N,12.51
C3L-00093.N,12.72
C3L-00094.N,12.83
C3L-00095.N,12.82
C3L-00140.N,12.49
C3L-00144.N,12.48
C3L-00263.N,12.02
C3L-00279.N,12.58
C3L-00368.N,12.71
C3L-00412.N,12.55
C3L-00422.N,12.83
C3L-00510.N,12.72
C3L-00604.N,12.78
C3L-00893.N,12.73
C3L-00913.N,12.82
C3L-00973.N,13.2
C3L-01330.N,13.0
C3L-01632.N,12.28
C3L-01682.N,12.39
C3L-01683.N,12.88
C3L-01889.N,12.3
C3L-01890.N,12.46
C3L-01924.N,12.61
C3L-02219.N,12.32
C3L-02345.N,12.77
C3L-02348.N,12.5
C3L-02350.N,12.75
C3L-02365.N,13.0
C3L-02508.N,12.42
C3L-02549.N,12.65
C3N-00167.N,12.6
C3N-00169.N,12.6
C3N-00175.N,12.27
C3N-00180.N,13.08
C3N-00199.N,12.81
C3N-00203.N,12.2
C3N-00217.N,12.68
C3N-00223.N,12.48
C3N-00293.N,12.72
C3N-00433.N,12.1
C3N-00545.N,13.03
C3N-00546.N,12.78
C3N-00547.N,12.64
C3N-00549.N,12.74
C3N-00550.N,12.71
C3N-00551.N,12.6
C3N-00552.N,12.62
C3N-00556.N,12.88
C3N-00559.N,12.69
C3N-00560.N,12.58
C3N-00572.N,12.62
C3N-00574.N,13.12
C3N-00578.N,12.68
C3N-00579.N,12.82
C3N-00580.N,12.7
C3N-00704.N,12.65
C3N-00737.N,12.41
C3N-00738.N,12.76
C3N-00959.N,12.96
C3N-01016.N,12.46
C3N-01021.N,12.65
C3N-01023.N,12.54
C3N-01024.N,12.88
C3N-01030.N,12.17
C3N-01071.N,12.74
C3N-01072.N,13.16
C3N-01405.N,13.18
C3N-01410.N,12.52
C3N-01413.N,12.79
C3N-01414.N,12.68
C3N-01415.N,12.72
C3N-01416.N,12.68
C3N-01488.N,12.57
C3N-01489.N,12.73
C3N-01799.N,12.73
C3N-01823.N,12.45
C3N-02000.N,12.36
C3N-02002.N,12.47
C3N-02003.N,12.67
C3N-02067.N,12.9
C3N-02087.N,12.2
C3N-02089.N,12.37
C3N-02145.N,12.29
C3N-02149.N,12.48
C3N-02155.N,12.49
C3N-02158.N,12.84
C3N-02379.N,12.52
C3N-02380.N,12.47
C3N-02421.N,12.48
C3N-02423.N,12.87
C3N-02424.N,12.3
C3N-02433.N,12.61
C3N-02529.N,12.09
C3N-02572.N,12.76
C3N-02582.N,12.55
C3N-02586.N,12.34
C3N-02587.N,12.72
C3N-02588.N,12.74
C3N-02729.N,12.41
