ligand,protein,binding_type,standard_value,standard_units,p_binding
CHEMBL941,CHEMBL203,IC50,100000.0,nM,4.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,7600.0,nM,5.119186407719209
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL1079742,CHEMBL203,IC50,420.0,nM,6.376750709602099
CHEMBL1079742,CHEMBL203,IC50,15.0,nM,7.823908740944319
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,7600.0,nM,5.119186407719209
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
CHEMBL941,CHEMBL203,Kd,30000.0,nM,4.522878745280337
CHEMBL1079742,CHEMBL203,IC50,70.0,nM,7.154901959985743
CHEMBL941,CHEMBL203,IC50,0.11,nM,9.958607314841775
CHEMBL1079742,CHEMBL203,IC50,2.0,nM,8.698970004336019
