patient_id,EGFR_PROTEIN,EGFR_RNA,EGFR_activity_mean,cohort,batch_domain,phospho_Y1016,phospho_Y1069,phospho_Y1092,phospho_Y1110,phospho_Y1172,EGFR_expression_score
C3L-00001,26.919190248374598,14.5,1.0,CPTAC,CPTAC,,,,,20.075879232096298,20.075879232096298
C3L-00009,25.18872442078035,12.09,1.0,CPTAC,CPTAC,,,16.9314862480461,,18.76705563200995,17.849270940028028
C3L-00080,25.20332345379035,12.530000000000001,1.0,CPTAC,CPTAC,,,,,18.0262477741692,18.0262477741692
C3L-00083,25.33675189890345,11.725,1.0,CPTAC,CPTAC,,,,,,
C3L-00093,24.73698732799355,12.75,1.0,CPTAC,CPTAC,,,,,,
C3L-00094,25.0882129857244,12.555,1.0,CPTAC,CPTAC,,,,,,
C3L-00095,25.2454484423883,12.58,1.0,CPTAC,CPTAC,,,,,,
C3L-00140,25.20138062721295,12.48,1.0,CPTAC,CPTAC,,,17.530325112873,,18.44859567402295,17.989460393447978
C3L-00144,25.444359764691498,12.870000000000001,1.0,CPTAC,CPTAC,,,,,,
C3L-00263,25.23058396943755,12.16,1.0,CPTAC,CPTAC,,,,,18.78487997569265,18.78487997569265
C3L-00279,25.54166356323035,12.865,1.0,CPTAC,CPTAC,,,,,18.6326719038641,18.6326719038641
C3L-00368,25.6621129709659,13.15,1.0,CPTAC,CPTAC,,,18.3238196875235,,19.256333267017553,18.790076477270524
C3L-00412,25.224254599629347,12.100000000000001,1.0,CPTAC,CPTAC,,,17.7189778877548,,,17.7189778877548
C3L-00422,25.4699007063357,13.055,1.0,CPTAC,CPTAC,,,,,,
C3L-00510,25.233579235753652,12.915,1.0,CPTAC,CPTAC,,,,,,
C3L-00604,25.64151088340105,13.03,1.0,CPTAC,CPTAC,,11.70987316125485,17.31265957314855,,18.46905993551355,15.830530889972316
C3L-00893,25.467510148014547,13.27,1.0,CPTAC,CPTAC,,,,,,
C3L-00913,25.1870211956207,12.08,1.0,CPTAC,CPTAC,,,,,,
C3L-00973,25.1754726117956,12.504999999999999,1.0,CPTAC,CPTAC,13.0873727155154,,,,,13.0873727155154
C3L-01330,25.486077749159698,13.325,1.0,CPTAC,CPTAC,,,17.61215485684675,,,17.61215485684675
C3L-01632,25.20778241503745,11.844999999999999,1.0,CPTAC,CPTAC,,,,,18.988258975081,18.988258975081
C3L-01682,25.502120230919147,12.72,1.0,CPTAC,CPTAC,,,,,,
C3L-01683,25.035743514885,12.265,1.0,CPTAC,CPTAC,,,,,,
C3L-01862,24.8657895228368,11.44,1.0,CPTAC,CPTAC,,,,,,
C3L-01889,25.37922841576745,12.59,1.0,CPTAC,CPTAC,,,,,,
C3L-01890,25.372985323296852,12.31,1.0,CPTAC,CPTAC,,,,,,
C3L-01924,25.71211255726235,13.05,1.0,CPTAC,CPTAC,,,,,,
C3L-02219,26.15161643291545,12.940000000000001,1.0,CPTAC,CPTAC,,,,,,
C3L-02345,25.109267508869898,12.445,1.0,CPTAC,CPTAC,,,,,,
C3L-02348,25.3596156752666,12.559999999999999,1.0,CPTAC,CPTAC,13.065650406197651,,,,,13.065650406197651
C3L-02350,25.14969202834235,12.25,1.0,CPTAC,CPTAC,,,17.37976128112005,,,17.37976128112005
C3L-02365,25.672189792026003,13.254999999999999,1.0,CPTAC,CPTAC,,,17.90627991903495,,,17.90627991903495
C3L-02508,25.15271836012785,11.74,1.0,CPTAC,CPTAC,13.02924094564425,,,,,13.02924094564425
C3L-02549,25.4585958034913,12.41,1.0,CPTAC,CPTAC,,,17.6470758759427,,,17.6470758759427
C3N-00167,25.71465800565145,13.445,1.0,CPTAC,CPTAC,,,,,18.9414062257186,18.9414062257186
C3N-00169,25.8171018353044,13.094999999999999,1.0,CPTAC,CPTAC,,,,,,
C3N-00175,25.6513877965595,12.95,1.0,CPTAC,CPTAC,,,17.55734646737845,,,17.55734646737845
C3N-00180,25.60189259632325,12.765,1.0,CPTAC,CPTAC,,,,,,
C3N-00199,26.03221889256185,13.84,1.0,CPTAC,CPTAC,,12.7013173580964,17.7926138668204,,19.790275079411202,16.761402101442666
