patient_id,EGFR_PROTEIN,EGFR_RNA,EGFR_activity_mean,phospho_Y1016,phospho_Y1069,phospho_Y1092,phospho_Y1110,phospho_Y1172,EGFR_expression_score,is_egfr_hotspot,ligand,protein,median_binding_nM,median_p_binding,n_measurements,standard_units,canonical_smiles,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,HeavyAtomCount,cohort_CPTAC,batch_domain_CPTAC,mutation_unknown,egfr_hotspot_label_other,binding_type_IC50,binding_type_KD,pref_name_erlotinib hydrochloride,pref_name_imatinib,mutation_binding_context_other_IC50,mutation_binding_context_other_KD,protein_ligand_pair_CHEMBL203_CHEMBL1079742,protein_ligand_pair_CHEMBL203_CHEMBL941
C3L-00001,28.1928745547492,17.07,1,13.072192414390651,12.6046447755037,17.767914942942703,10.583122355255949,20.075879232096295,20.075879232096295,0.0,CHEMBL1079742,CHEMBL203,42.5,7.489405350465031,4,nM,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,True,True,True,True,True,False,True,False,True,False,True,False
C3L-00001,28.1928745547492,17.07,1,13.072192414390651,12.6046447755037,17.767914942942703,10.583122355255949,20.075879232096295,20.075879232096295,0.0,CHEMBL941,CHEMBL203,50000.055,6.979303657420888,2,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,True,True,True,True,True,False,False,True,True,False,False,True
C3L-00001,28.1928745547492,17.07,1,13.072192414390651,12.6046447755037,17.767914942942703,10.583122355255949,20.075879232096295,20.075879232096295,0.0,CHEMBL941,CHEMBL203,10000.0,5.0,23,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,True,True,True,True,False,True,False,True,False,True,False,True
C3L-00009,25.2195852713392,11.86,1,13.072192414390651,12.6046447755037,16.9314862480461,10.583122355255949,18.76705563200995,17.849270940028028,0.0,CHEMBL1079742,CHEMBL203,42.5,7.489405350465031,4,nM,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,True,True,True,True,True,False,True,False,True,False,True,False
C3L-00009,25.2195852713392,11.86,1,13.072192414390651,12.6046447755037,16.9314862480461,10.583122355255949,18.76705563200995,17.849270940028028,0.0,CHEMBL941,CHEMBL203,50000.055,6.979303657420888,2,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,True,True,True,True,True,False,False,True,True,False,False,True
C3L-00009,25.2195852713392,11.86,1,13.072192414390651,12.6046447755037,16.9314862480461,10.583122355255949,18.76705563200995,17.849270940028028,0.0,CHEMBL941,CHEMBL203,10000.0,5.0,23,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,True,True,True,True,False,True,False,True,False,True,False,True
C3L-00080,25.2388034634108,12.58,1,13.072192414390651,12.6046447755037,17.767914942942703,10.583122355255949,18.0262477741692,18.0262477741692,0.0,CHEMBL1079742,CHEMBL203,42.5,7.489405350465031,4,nM,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,True,True,True,True,True,False,True,False,True,False,True,False
C3L-00080,25.2388034634108,12.58,1,13.072192414390651,12.6046447755037,17.767914942942703,10.583122355255949,18.0262477741692,18.0262477741692,0.0,CHEMBL941,CHEMBL203,50000.055,6.979303657420888,2,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,True,True,True,True,True,False,False,True,True,False,False,True
C3L-00080,25.2388034634108,12.58,1,13.072192414390651,12.6046447755037,17.767914942942703,10.583122355255949,18.0262477741692,18.0262477741692,0.0,CHEMBL941,CHEMBL203,10000.0,5.0,23,nM,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,493.6150000000002,4.590320000000004,86.28000000000002,2,7,7,5,37,True,True,True,True,False,True,False,True,False,True,False,True
C3L-00083,25.0415832172602,10.94,1,13.072192414390651,12.6046447755037,17.767914942942703,10.583122355255949,18.865020633290122,17.99546391996231,0.0,CHEMBL1079742,CHEMBL203,42.5,7.489405350465031,4,nM,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1.Cl,429.90400000000017,3.8269000000000033,74.73000000000002,1,7,10,3,30,True,True,True,True,True,False,True,False,True,False,True,False
