patient_id,EGFR_PROTEIN,EGFR_RNA,EGFR_activity_mean,cohort,batch_domain,phospho_Y1016,phospho_Y1069,phospho_Y1092,phospho_Y1110,phospho_Y1172,EGFR_expression_score,ligand,protein,binding_type,standard_value,standard_units,p_binding
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,IC50,100000.0,nM,4.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,7600.0,nM,5.119186407719209
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL1079742,CHEMBL203,IC50,420.0,nM,6.376750709602099
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL1079742,CHEMBL203,IC50,15.0,nM,7.823908740944319
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,7600.0,nM,5.119186407719209
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,Kd,30000.0,nM,4.522878745280337
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL1079742,CHEMBL203,IC50,70.0,nM,7.154901959985743
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL941,CHEMBL203,IC50,0.11,nM,9.958607314841775
C3L-00001,28.1928745547492,17.07,1,CPTAC,CPTAC,,,,,20.075879232096295,20.075879232096295,CHEMBL1079742,CHEMBL203,IC50,2.0,nM,8.698970004336019
C3L-00009,25.2195852713392,11.86,1,CPTAC,CPTAC,,,16.9314862480461,,18.76705563200995,17.849270940028028,CHEMBL941,CHEMBL203,IC50,100000.0,nM,4.0
C3L-00009,25.2195852713392,11.86,1,CPTAC,CPTAC,,,16.9314862480461,,18.76705563200995,17.849270940028028,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00009,25.2195852713392,11.86,1,CPTAC,CPTAC,,,16.9314862480461,,18.76705563200995,17.849270940028028,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00009,25.2195852713392,11.86,1,CPTAC,CPTAC,,,16.9314862480461,,18.76705563200995,17.849270940028028,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
C3L-00009,25.2195852713392,11.86,1,CPTAC,CPTAC,,,16.9314862480461,,18.76705563200995,17.849270940028028,CHEMBL941,CHEMBL203,Kd,10000.0,nM,5.0
